DEP_ARR,AIRLINE_IATA,FLIGHT_ID,TO_FROM,INT_DOM_SCHENGEN,GATE_STAND,CANCELLED,SOBT_SIBT,ATOT_ALDT,AOBT_AIBT,WEEKDAY,DELAY
DEPARTURE,DY,DY1060,TLL,S,40,,2016-01-01T10:50:00,2016-01-01T10:56:00,2016-01-01T10:47:00,4,-3.0
DEPARTURE,SK,SK484,ARN,S,39,,2016-01-01T10:55:00,2016-01-01T11:12:00,2016-01-01T10:52:00,4,-3.0
DEPARTURE,DY,DY1020,WAW,S,47A,,2016-01-01T11:00:00,2016-01-01T11:11:00,2016-01-01T10:51:00,4,-9.0
ARRIVAL,DY,DY7002,JFK,I,48,,2016-01-01T11:00:00,2016-01-01T10:35:00,2016-01-01T10:44:00,4,-16.0
DEPARTURE,SK,SK907,EWR,I,50,,2016-01-01T11:00:00,2016-01-01T11:44:00,2016-01-01T11:03:00,4,3.0
ARRIVAL,FI,FI318,KEF,S,46,,2016-01-01T11:05:00,2016-01-01T11:21:00,2016-01-01T11:27:00,4,22.0
DEPARTURE,DY,DY1156,MUC,S,41,,2016-01-01T11:15:00,2016-01-01T11:21:00,2016-01-01T11:06:00,4,-9.0
DEPARTURE,DY,DY1072,RIX,S,38,,2016-01-01T11:20:00,2016-01-01T11:28:00,2016-01-01T11:08:00,4,-12.0
ARRIVAL,TK,TK1751,IST,I,51,C,2016-01-01T11:20:00,,,4,inf
DEPARTURE,BA,BA763,LHR,I,58B,,2016-01-01T11:25:00,2016-01-01T11:38:00,2016-01-01T11:20:00,4,-5.0
DEPARTURE,DY,DY1052,GDN,S,37B,,2016-01-01T11:30:00,2016-01-01T11:54:00,2016-01-01T11:31:00,4,1.0
ARRIVAL,EK,EK159,DXB,I,50,,2016-01-01T11:30:00,2016-01-01T11:17:00,2016-01-01T11:27:00,4,-3.0
DEPARTURE,SU,SU2717,SVO,I,58E,,2016-01-01T11:40:00,2016-01-01T12:00:00,2016-01-01T11:38:00,4,-2.0
DEPARTURE,SK,SK4416,TOS,D,26,,2016-01-01T11:45:00,2016-01-01T12:03:00,2016-01-01T11:43:00,4,-2.0
ARRIVAL,SK,SK290,BGO,D,22,,2016-02-01T21:35:00,2016-02-01T22:51:00,2016-02-01T22:53:00,0,78.0
ARRIVAL,SK,SK4698,LPA,S,42,,2016-02-01T21:35:00,2016-02-01T21:23:00,2016-02-01T21:28:00,0,-7.0
ARRIVAL,SK,SK836,CDG,S,40,,2016-02-01T21:35:00,2016-02-01T21:44:00,2016-02-01T21:48:00,0,13.0
ARRIVAL,WF,WF163,SOG,D,7,,2016-02-01T21:42:00,2016-02-01T22:40:00,2016-02-01T22:43:00,0,61.0
ARRIVAL,DY,DY1109,SXF,S,44,,2016-02-01T21:45:00,2016-02-01T21:55:00,2016-02-01T21:58:00,0,13.0
DEPARTURE,SK,SK1334,AES,D,18,,2016-02-01T21:45:00,2016-02-01T23:03:00,2016-02-01T22:54:00,0,69.0
DEPARTURE,SK,SK227,KRS,D,26,,2016-02-01T21:45:00,2016-02-01T22:56:00,2016-02-01T22:47:00,0,62.0
DEPARTURE,SK,SK2309,KSU,D,11,,2016-02-01T21:45:00,2016-02-01T22:35:00,2016-02-01T22:24:00,0,39.0
DEPARTURE,SK,SK295,BGO,D,19B,,2016-02-01T21:45:00,2016-02-01T22:24:00,2016-02-01T22:14:00,0,29.0
DEPARTURE,SK,SK382,TRD,D,12,,2016-02-01T21:45:00,2016-02-01T23:18:00,2016-02-01T23:01:00,0,76.0
DEPARTURE,SK,SK4051,SVG,D,19A,,2016-02-01T21:45:00,2016-02-01T22:17:00,2016-02-01T22:05:00,0,20.0
ARRIVAL,WF,WF196,FDE,D,3,,2016-02-01T21:45:00,2016-02-01T21:57:00,2016-02-01T22:01:00,0,16.0
ARRIVAL,WF,WF337,GOT,S,76,,2016-02-01T21:45:00,2016-02-01T22:22:00,2016-02-01T22:25:00,0,40.0
ARRIVAL,D8,D82808,LGW,I,51,,2016-02-01T21:50:00,2016-02-01T22:19:00,2016-02-01T22:27:00,0,37.0
ARRIVAL,DY,DY369,EVE,D,15,,2016-02-01T21:50:00,2016-02-01T22:04:00,2016-02-01T22:06:00,0,16.0
ARRIVAL,SK,SK1472,CPH,S,47,,2016-02-01T21:50:00,2016-02-01T21:52:00,2016-02-01T21:57:00,0,7.0
DEPARTURE,WF,WF132,FRO,D,2,,2016-02-01T21:55:00,2016-02-01T23:29:00,2016-02-01T23:25:00,0,90.0
DEPARTURE,DY,DY638,BGO,D,20,,2016-02-01T22:00:00,2016-02-01T22:54:00,2016-02-01T22:42:00,0,42.0
DEPARTURE,DY,DY776,TRD,D,16,,2016-02-01T22:00:00,2016-02-01T23:48:00,2016-02-01T23:32:00,0,92.0
DEPARTURE,SK,SK324,HAU,D,14D,,2016-02-01T22:05:00,2016-02-01T22:49:00,2016-02-01T22:39:00,0,34.0
DEPARTURE,WF,WF185,HOV,D,3,,2016-02-01T22:10:00,2016-02-01T23:12:00,2016-02-01T23:06:00,0,56.0
ARRIVAL,WF,WF129,FRO,D,7,,2016-02-01T22:15:00,2016-02-02T00:05:00,2016-02-02T00:09:00,0,114.0
DEPARTURE,WF,WF195,FDE,D,7,,2016-02-01T22:15:00,2016-02-01T23:09:00,2016-02-01T23:02:00,0,47.0
ARRIVAL,KL,KL1151,AMS,S,39,,2016-02-01T22:20:00,2016-02-01T23:16:00,2016-02-01T23:22:00,0,62.0
ARRIVAL,DY,DY951,CPH,S,43,,2016-02-01T22:30:00,2016-02-01T22:23:00,2016-02-01T22:29:00,0,-1.0
ARRIVAL,SK,SK385,TRD,D,20,,2016-02-01T22:30:00,2016-02-01T23:35:00,2016-02-01T23:37:00,0,67.0
ARRIVAL,SK,SK4048,SVG,D,14,,2016-02-01T22:30:00,2016-02-01T22:42:00,2016-02-01T22:44:00,0,14.0
ARRIVAL,SK,SK812,LHR,I,51,,2016-02-01T22:40:00,2016-02-01T23:19:00,2016-02-01T23:24:00,0,44.0
DEPARTURE,SK,SK299,BGO,D,22,,2016-02-01T22:45:00,2016-02-01T23:31:00,2016-02-01T23:23:00,0,38.0
DEPARTURE,SK,SK386,TRD,D,,C,2016-02-01T22:45:00,,,0,inf
DEPARTURE,SK,SK4053,SVG,D,13,,2016-02-01T22:45:00,2016-02-01T23:23:00,2016-02-01T23:09:00,0,24.0
ARRIVAL,DY,DY1497,ORY,S,44,,2016-02-01T22:50:00,2016-02-01T22:55:00,2016-02-01T22:59:00,0,9.0
ARRIVAL,DY,DY999,BLL,S,49,,2016-02-01T22:50:00,2016-02-02T00:34:00,2016-02-02T00:40:00,0,110.0
ARRIVAL,SN,SN2287,BRU,S,42,,2016-02-01T22:50:00,2016-02-01T22:29:00,2016-02-01T22:35:00,0,-15.0
ARRIVAL,BA,BA770,LHR,I,53,,2016-02-01T22:55:00,2016-02-01T22:35:00,2016-02-01T22:43:00,0,-12.0
ARRIVAL,DY,DY1829,ACE,S,38,,2016-02-01T22:55:00,2016-02-01T22:58:00,2016-02-01T23:03:00,0,8.0
ARRIVAL,TK,TK1429,IST,I,,C,2016-02-01T23:10:00,,,0,inf
ARRIVAL,DY,DY1259,AMS,S,47,,2016-02-01T23:15:00,2016-02-02T01:09:00,2016-02-02T01:16:00,0,121.0
ARRIVAL,LH,LH864,FRA,S,40,,2016-02-01T23:40:00,2016-02-01T23:31:00,2016-02-01T23:39:00,0,-1.0
DEPARTURE,SU,SU2535,SVO,I,50,,2016-02-01T23:40:00,2016-02-01T23:51:00,2016-02-01T23:38:00,0,-2.0
ARRIVAL,SK,SK1474,CPH,S,46,,2016-02-01T23:55:00,2016-02-02T00:53:00,2016-02-02T00:58:00,0,63.0
DEPARTURE,OSL,OSL123,AAL,S,REM,C,2016-03-01T03:00:00,,,1,inf
DEPARTURE,OSL,OSL124,AES,D,,C,2016-03-01T04:00:00,,,1,inf
DEPARTURE,SK,SK848,ARN,S,E13,,2016-03-01T06:05:00,2016-03-01T06:15:00,2016-03-01T06:02:00,1,-3.0
DEPARTURE,SK,SK1461,CPH,S,E8,,2016-03-01T06:10:00,2016-03-01T06:23:00,2016-03-01T06:11:00,1,1.0
DEPARTURE,DY,DY1790,ALC,S,E15,,2016-03-01T06:20:00,2016-03-01T06:43:00,2016-03-01T06:34:00,1,14.0
DEPARTURE,LH,LH865,FRA,S,E14,,2016-03-01T06:25:00,2016-03-01T06:47:00,2016-03-01T06:40:00,1,15.0
DEPARTURE,WF,WF162,SOG,D,A17,,2016-03-01T06:25:00,2016-03-01T06:35:00,2016-03-01T06:27:00,1,2.0
DEPARTURE,AF,AF1275,CDG,S,E6,,2016-03-01T06:30:00,2016-03-01T06:41:00,2016-03-01T06:26:00,1,-4.0
DEPARTURE,KL,KL1140,AMS,S,E11,,2016-03-01T06:30:00,2016-03-01T06:30:00,2016-03-01T06:18:00,1,-12.0
DEPARTURE,SN,SN2288,BRU,S,E3,,2016-03-01T06:30:00,2016-03-01T06:35:00,2016-03-01T06:26:00,1,-4.0
DEPARTURE,WF,WF324,GOT,S,E7,,2016-03-01T06:30:00,2016-03-01T06:36:00,2016-03-01T06:30:00,1,0.0
DEPARTURE,DY,DY1262,AYT,I,F17,,2016-03-01T07:00:00,2016-03-01T07:28:00,2016-03-01T07:16:00,1,16.0
DEPARTURE,DY,DY522,SVG,D,B7,,2016-03-01T07:00:00,2016-03-01T07:20:00,2016-03-01T07:11:00,1,11.0
DEPARTURE,DY,DY740,TRD,D,A12,,2016-03-01T07:00:00,2016-03-01T07:23:00,2016-03-01T07:12:00,1,12.0
DEPARTURE,SK,SK330,TRD,D,A4,,2016-03-01T07:00:00,2016-03-01T07:08:00,2016-03-01T06:59:00,1,-1.0
ARRIVAL,SK,SK4002,SVG,D,12,C,2016-03-01T07:00:00,,,1,inf
DEPARTURE,SK,SK844,ARN,S,E9,,2016-03-01T07:00:00,2016-03-01T07:11:00,2016-03-01T06:56:00,1,-4.0
ARRIVAL,SK,SK236,BGO,D,14,,2016-03-01T07:05:00,2016-03-01T06:56:00,2016-03-01T06:58:00,1,-7.0
DEPARTURE,SK,SK249,BGO,D,A6,,2016-03-01T07:05:00,2016-03-01T07:49:00,2016-03-01T07:41:00,1,36.0
DEPARTURE,DY,DY602,BGO,D,A14,,2016-03-01T07:10:00,2016-03-01T07:14:00,2016-03-01T07:05:00,1,-5.0
DEPARTURE,SK,SK1463,CPH,S,E12,,2016-03-01T07:10:00,2016-03-01T07:13:00,2016-03-01T07:06:00,1,-4.0
ARRIVAL,SK,SK204,KRS,D,15,,2016-03-01T07:10:00,2016-03-01T06:54:00,2016-03-01T06:56:00,1,-14.0
